Gene,Screen,Plate,Project,Dataset,Image,Phenotype,Phenotype Term Name,Phenotype Term Accession,Phenotype Term Accession URL
FOXN1,idr0009-simpson-secretion/screenA (12),0098-03--2006-02-07,-,-,1459587,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
FOXN1,idr0009-simpson-secretion/screenA (12),0098-08--2006-03-05,-,-,416337,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
FOXN1,idr0009-simpson-secretion/screenA (12),0098-15--2006-01-25,-,-,1459990,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
FOXN1,idr0009-simpson-secretion/screenA (12),0098-19--2006-05-16,-,-,1460591,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
FOXN1,idr0009-simpson-secretion/screenA (12),0098-22--2006-02-27,-,-,417360,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
FOXN1,idr0009-simpson-secretion/screenA (12),0098-30--2006-02-17,-,-,1460732,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
CFTR,idr0009-simpson-secretion/screenA (17),0008-02--2005-09-12,-,-,209359,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
CFTR,idr0009-simpson-secretion/screenA (17),0008-03--2005-08-02,-,-,210009,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
CFTR,idr0009-simpson-secretion/screenA (17),0008-18--2005-07-29,-,-,211377,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
CFTR,idr0009-simpson-secretion/screenA (17),0008-23--2005-09-15,-,-,211969,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
CFTR,idr0009-simpson-secretion/screenA (17),0008-38--2005-08-18,-,-,213197,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
CFTR,idr0009-simpson-secretion/screenA (17),0008-45--2005-10-05,-,-,214521,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
CFTR,idr0093-mueller-perturbation/screenA (9),9,-,-,12581345,Increased or decreased total RNA production rate,"transcription, DNA-templated",GO_0006351,http://purl.obolibrary.org/obo/GO_0006351
CFTR,idr0093-mueller-perturbation/screenA (9),9,-,-,12581350,Increased or decreased total RNA production rate,"transcription, DNA-templated",GO_0006351,http://purl.obolibrary.org/obo/GO_0006351
